product.name,product.temperature,affiliation.commission.price.value,product.blueprint,product.price.value,product.totalAnswers,product.category,affiliation.commission.price.currency,affiliation.commission.percentage,producer.name,producer.ucode
Canva,21.0,40.47,45.0,300.0,0,category.design.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
Auxiliar de Veterinário	,21.0,40.47,45.0,300.0,0,category.animals_and_plants.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
Curso Preparatório - Enem,21.0,81.02,50.0,600.0,0,category.education.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
Java,21.0,33.71,44.0,250.0,0,category.information_technology.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
Maquiagem Profissionalizante,13.22,60.74,47.0,450.0,0,category.fashion_and_beauty.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
AutoCad 2D e 3D,21.0,53.99,46.0,400.0,0,category.business_and_careers.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
Corel Draw X8	,21.0,40.47,45.0,300.0,0,category.design.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
7 Estratégias no Orgânico Vol.2,9.35,8.76,75.0,20.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Receitas Saudáveis com Aveia,15.11,4.0,65.0,10.0,0,category.gastronomy.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Receitas Detox para Desinchar,18.7,8.76,75.0,20.0,0,category.gastronomy.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Umectação Capilar,18.7,4.0,75.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Esfoliantes Corporais,17.0,44.8,75.0,100.0,0,category.fashion_and_beauty.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Esfoliantes para o Corpo,18.7,8.76,75.0,20.0,0,category.fashion_and_beauty.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Cronograma Capilar,18.7,22.28,75.0,50.0,0,category.fashion_and_beauty.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Base Bomba para Unhas,17.0,4.0,75.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Designer de Sobrancelhas para Iniciantes,21.0,44.8,75.0,100.0,0,category.fashion_and_beauty.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Aprenda Estruturar seu Instagram,8.31,2.8,65.0,7.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Modelo de Abordagem,8.5,2.8,75.0,7.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Como Anunciar pelo Google Ads,9.35,8.76,75.0,20.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Como Iniciar no Marketing Digital,9.35,22.28,75.0,50.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
3 Estratégias de Venda,9.35,4.0,75.0,10.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Vitaminas Gostosas,17.0,4.0,75.0,10.0,0,category.gastronomy.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Copywriting SEO,8.5,8.76,75.0,20.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Sobremesas Refrescantes,21.0,2.8,75.0,7.0,0,category.gastronomy.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Receitas de Vovó,21.0,8.76,75.0,20.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Marketing Empreendedor ,7.56,2.8,65.0,7.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
Reconstruções para Cabelo,8.5,4.0,75.0,10.0,0,category.digital_entrepreneurship.name,BRL,50.0,Giani,59876117-2b4d-4388-9b3b-6197a3e91122
CONSULTORIA SAÚDE DIGITAL 4S,21.0,269.55,46.0,997.77,0,category.business_and_careers.name,BRL,30.0,Ramon Silva,9e5b276b-c7f1-464a-9f75-b8c958e662da
Cozinha que aproxima a família. ,21.0,0.04,20.0,5.0,0,category.gastronomy.name,BRL,1.0,Mikael,17d8af1f-06b2-415e-9e7f-6e61bfd452b0
Vida Sem distrações - 18 lições para manter o foco.,21.0,7.37,55.0,21.0,0,category.personal_development.name,BRL,40.0,Fabio,5716680b-0bc0-4991-a724-0d503eb6350d
MOLDE CONJUNTO INDIRA,21.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO ARETHA,21.0,4.12,67.0,12.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO TÓQUIO,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CONJUNTO RAVENA,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MAIÔ ELOISA ,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MAIÔ BESSI,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MEIA PARA CHINELO ,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE KIT MODINHA 2.0,16.62,10.58,65.0,29.9,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE REGATA ITALO,21.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO DE NOIVA COM CALDA,16.62,7.01,67.0,20.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MAIÔ ORANGE,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDES VESTIDO BRANCA,16.62,4.84,67.0,14.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CALÇA ALFAIATARIA CLOE,16.62,3.2,67.0,10.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CONJUNTO FITNESS EMA,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE BLUSA + TOP FITNESS,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MAIÔ CARLY ,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MAIÔ BRISA,0.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CALÇA SOCIAL MASCULINA,18.7,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MACAQUINHO KATARINE,21.0,5.16,77.0,12.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE KIT COM 5 CROPPEDS,18.7,5.16,77.0,12.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE KIT CALÇAS ALFAIATARIA PLUS SIZE,18.7,6.06,77.0,14.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CONJUNTO OLGA,18.7,5.16,77.0,12.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MACAQUINHO CLARISSE,21.0,4.84,67.0,14.0,1,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CONJUNTO DALIA,21.0,3.2,67.0,10.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO TUBINHO CHANEL,21.0,5.16,77.0,12.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CONJUNTO BIANCA,12.09,4.12,67.0,12.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
